Region,ABM-11-M,ABM-11-F,HUMSS-11-M,HUMSS-11-F,STEM-11-M,STEM-11-F,GAS-11-M,GAS-11-F,MARITIME-11-M,MARITIME-11-F,TVL-11-M,TVL-11-F,Sports-11-M,Sports-11-F,Arts&Design-11-M,Arts&Design-11-F,ABM-12-M,ABM-12-F,HUMSS-12-M,HUMSS-12-F,STEM-12-M,STEM-12-F,GAS-12-M,GAS-12-F,MARITIME-12-M,MARITIME-12-F,TVL-12-M,TVL-12-F,Sports-12-M,Sports-12-F,Arts&Design-12-M,Arts&Design-12-F,Sector,A.Y,Academic Track 11 M,Academic Track 11 F,Grand Total 11 M,Grand Total 11 F,Academic Track 12 M,Academic Track 12 F,Grand Total 12 M,Grand Total 12 F
Region V - Bicol Region,882,2607,1666,2435,2544,2607,2960,3377,193,21,3913,2857,28,16,44,45,900,2746,1089,1578,2163,2015,2455,3039,286,12,3632,2774,31,22,27,35,Private,2019-2020,8245,11047,12230,13965,6893,9390,10583,12221
Region VI - Western Visayas,1441,4016,2930,4284,4825,5667,2086,1864,1907,34,3867,3084,2,1,91,83,1239,4220,1898,3236,4031,4930,1879,1699,2307,38,3478,3362,1,2,136,127,Private,2019-2020,13189,15865,17149,19033,11354,14123,14969,17614
Region VII - Central Visayas,2111,5703,3853,6860,7939,7426,3993,3329,1138,58,6482,4787,0,0,123,177,1946,5860,2628,5411,7289,6644,3746,3432,1053,47,6183,4937,0,0,123,196,Private,2019-2020,19034,23376,25639,28340,16662,21394,22968,26527
Region VIII - Eastern Visayas,641,1512,1489,2055,1489,1593,848,901,0,0,1834,1376,0,0,0,0,630,1519,1117,1715,1392,1391,897,971,0,0,1853,1539,0,0,0,0,Private,2019-2020,4467,6061,6301,7437,4036,5596,5889,7135
Region IX - Zamboanga Peninsula,497,1105,1978,2746,1853,2447,1221,1122,82,33,2490,1910,0,0,3,1,520,1377,1495,2056,1608,2132,1126,1372,14,1,2217,1840,0,0,2,1,Private,2019-2020,5631,7453,8124,9364,4763,6938,6982,8779
Region X - Northern Mindanao,1220,2827,2350,3289,2863,3152,2357,2370,380,15,3316,2329,0,0,20,27,1230,3114,1855,2785,2552,2653,1960,2094,485,17,3198,2512,0,0,20,34,Private,2019-2020,9170,11653,12506,14009,8082,10663,11300,13209
Region XI - Davao Region,1508,3485,3774,5487,3447,4214,1560,1676,158,10,6154,4386,0,0,20,35,1467,3466,2475,4025,3147,3663,1501,1593,183,20,5321,4020,0,0,27,30,Private,2019-2020,10447,14872,16621,19293,8773,12767,14121,16817
Region XII - Soccsksargen,891,2083,4378,5445,2460,3056,711,779,27,0,3479,1670,41,13,2,2,829,2108,3002,4007,2061,2388,754,866,25,1,3324,1851,6,3,6,3,Private,2019-2020,8467,11363,11989,13048,6671,9370,10007,11227
CARAGA - CARAGA,462,1131,1486,2010,978,1073,945,789,136,11,1813,1331,0,0,6,9,484,1247,1089,1607,812,936,823,822,125,2,1669,1310,0,0,6,10,Private,2019-2020,4007,5014,5826,6354,3333,4614,5008,5934
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,305,406,1515,1742,599,1066,1093,1597,0,0,764,777,0,0,0,0,282,402,1030,1257,568,974,1079,1586,0,0,639,682,0,0,0,0,Private,2019-2020,3512,4811,4276,5588,2959,4219,3598,4901
CAR - Cordillera Administrative Region,431,1032,2249,2585,2106,2707,427,383,0,0,1347,840,30,6,13,21,528,1326,1882,2297,2013,2288,427,438,0,0,1311,949,13,9,18,27,Private,2019-2020,5213,6707,6603,7574,4850,6349,6192,7334
NCR - National Capital Region,12420,22686,15147,19038,21106,17711,6306,5928,389,12,19057,15084,255,128,626,1042,11982,22680,10197,14032,18754,15020,6016,5712,412,23,18095,14795,159,120,535,918,Private,2019-2020,55368,65375,75306,81629,47361,57467,66150,73300
Region I - Ilocos Region,38,110,121,193,175,278,12,19,0,0,190,217,0,0,12,12,48,135,137,171,213,335,30,25,0,0,248,215,0,0,8,11,SUCsLUCs,2019-2020,346,600,548,829,428,666,684,892
Region II - Cagayan Valley,0,0,0,0,103,184,0,0,0,0,37,24,0,0,0,0,0,0,0,0,25,48,0,0,0,0,31,43,0,0,0,0,SUCsLUCs,2019-2020,103,184,140,208,25,48,56,91
Region III - Central Luzon,210,520,293,506,533,515,155,164,0,0,502,380,0,0,0,0,141,387,159,293,425,361,83,160,0,0,477,376,5,5,0,0,SUCsLUCs,2019-2020,1191,1705,1693,2085,808,1201,1290,1582
Region IV-A - CALABARZON,182,451,289,525,858,748,15,32,0,0,279,150,0,0,0,0,127,442,236,461,656,640,30,12,0,0,298,182,0,0,0,0,SUCsLUCs,2019-2020,1344,1756,1623,1906,1049,1555,1347,1737
Region IV-B - MIMAROPA,129,371,157,323,309,382,51,67,0,0,341,262,0,0,0,0,130,380,174,381,285,337,53,68,0,0,419,360,0,0,0,0,SUCsLUCs,2019-2020,646,1143,987,1405,642,1166,1061,1526
Region V - Bicol Region,33,80,112,173,150,174,58,94,0,0,194,80,0,0,0,0,54,147,97,163,168,197,34,80,0,0,188,93,0,0,0,0,SUCsLUCs,2019-2020,353,521,547,601,353,587,541,680
Region VI - Western Visayas,34,106,26,90,83,130,0,0,0,0,30,38,0,0,0,0,45,124,74,156,176,239,14,34,0,0,298,241,0,0,0,0,SUCsLUCs,2019-2020,143,326,173,364,309,553,607,794
Region VII - Central Visayas,12,68,38,88,23,43,29,48,48,2,37,64,0,0,0,0,21,108,63,137,161,196,20,33,42,0,170,191,0,0,0,0,SUCsLUCs,2019-2020,150,249,187,313,307,474,477,665
Region VIII - Eastern Visayas,43,125,94,153,255,298,16,42,0,0,34,14,0,0,0,0,58,163,82,148,226,271,16,40,0,0,82,80,0,0,0,0,SUCsLUCs,2019-2020,408,618,442,632,382,622,464,702
Region IX - Zamboanga Peninsula,35,108,125,215,166,233,68,80,0,0,257,143,0,0,0,0,69,172,141,247,163,251,69,131,31,0,421,299,0,0,0,0,SUCsLUCs,2019-2020,394,636,651,779,473,801,894,1100
Region X - Northern Mindanao,84,203,221,405,421,567,91,174,0,0,128,140,0,0,0,0,88,218,139,237,347,468,100,166,0,0,134,184,0,0,0,0,SUCsLUCs,2019-2020,817,1349,945,1489,674,1089,808,1273
Region XI - Davao Region,13,45,21,13,0,0,16,50,0,0,4,4,0,0,0,0,9,24,7,26,0,0,11,29,0,0,18,13,0,0,0,0,SUCsLUCs,2019-2020,50,108,54,112,27,79,45,92
Region XII - Soccsksargen,26,75,143,164,245,301,31,43,0,0,21,19,0,0,0,0,21,62,103,164,226,258,41,49,0,0,19,15,0,0,0,0,SUCsLUCs,2019-2020,445,583,466,602,391,533,410,548
CARAGA - CARAGA,0,0,0,0,84,122,0,0,0,0,20,46,0,0,0,0,0,0,0,0,66,108,0,0,0,0,31,51,0,0,0,0,SUCsLUCs,2019-2020,84,122,104,168,66,108,97,159
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,109,222,121,312,486,842,290,449,0,0,181,245,16,14,0,0,116,159,121,244,274,533,192,303,0,0,191,232,6,23,0,0,SUCsLUCs,2019-2020,1006,1825,1203,2084,703,1239,900,1494
CAR - Cordillera Administrative Region,13,63,121,187,118,156,28,77,0,0,300,250,0,0,0,0,14,72,145,246,143,187,13,33,0,0,319,202,0,0,0,0,SUCsLUCs,2019-2020,280,483,580,733,315,538,634,740
NCR - National Capital Region,527,1749,666,1281,1381,1444,57,118,0,0,945,680,38,5,140,177,594,1694,579,1110,1214,1218,89,193,0,0,1325,1087,39,17,121,171,SUCsLUCs,2019-2020,2631,4592,3754,5454,2476,4215,3961,5490
Region I - Ilocos Region,1402,4200,8433,9212,3982,4863,7185,7054,0,0,15559,11084,0,0,83,42,1262,3807,5831,6616,3086,3602,6059,6026,0,0,13878,10618,0,0,127,100,Public,2020-2021,21002,25329,36644,36455,16238,20051,30243,30769
Region II - Cagayan Valley,807,2492,7030,7646,2711,3790,5057,5191,0,0,7384,5268,120,57,71,47,820,2144,4918,5499,2146,2732,3944,4208,0,0,6981,5582,140,94,77,79,Public,2020-2021,15605,19119,23180,24491,11828,14583,19026,20338
Region III - Central Luzon,3987,9249,13119,15797,6820,7037,11317,10603,95,21,20913,14836,87,45,88,82,2997,7134,7681,10158,4910,4650,8265,8105,65,10,18536,13418,67,36,57,50,Public,2020-2021,35338,42707,56426,57670,23918,30057,42578,43561
Region IV-A - CALABARZON,5597,12258,18500,20409,6837,6947,3859,4258,57,13,22170,15071,134,69,173,152,4085,9381,11494,14342,4658,4446,3841,4303,54,12,19606,13587,138,58,243,238,Public,2020-2021,34850,43885,57327,59177,24132,32484,44119,46367
Region IV-B - MIMAROPA,807,2122,5020,6066,2121,2357,5691,6913,0,0,7469,5531,95,30,102,84,742,1799,3339,4220,1512,1661,4514,5799,0,0,7203,5885,100,66,119,116,Public,2020-2021,13639,17458,21305,23103,10107,13479,17529,19546
Region V - Bicol Region,1264,3428,3341,4735,2160,2740,16549,21366,36,1,15269,11583,93,34,232,221,1076,3069,2500,4004,1915,2261,11735,16289,28,7,15139,12112,86,57,234,287,Public,2020-2021,23350,32270,38944,44108,17254,25630,32713,38086
Region VI - Western Visayas,1827,5690,13083,18502,3725,4941,7503,8011,0,0,26835,18945,63,26,96,105,1638,5062,9770,14413,2843,3730,6102,6585,0,0,23127,17552,101,52,98,130,Public,2020-2021,26138,37144,53132,56220,20353,29790,43679,47524
Region VII - Central Visayas,1619,4132,6913,11019,2634,3165,12833,14786,29,2,19458,14215,112,70,135,123,1170,3362,4814,7893,2000,2472,9481,11392,14,1,17990,14021,76,67,173,162,Public,2020-2021,24028,33104,43733,47512,17479,25120,35718,39370
Region VIII - Eastern Visayas,1267,3143,7770,10534,1922,2460,8678,10724,0,0,14063,11230,65,61,23,27,1026,2548,5688,7814,1447,1671,7079,8898,0,0,13574,11113,54,51,37,58,Public,2020-2021,19637,26861,33788,38179,15240,20931,28905,32153
Region IX - Zamboanga Peninsula,714,1850,4783,8047,1430,2103,2279,2934,0,0,12117,10273,42,19,37,41,559,1618,2769,5054,992,1563,1202,1725,0,0,10928,9420,29,16,72,79,Public,2020-2021,9206,14934,21402,25267,5522,9960,16551,19475
Region X - Northern Mindanao,991,2900,5414,8668,1712,2271,4253,5878,0,0,11226,7180,54,37,26,24,841,2464,3664,5815,1238,1614,3134,4261,0,0,10384,7441,102,81,54,57,Public,2020-2021,12370,19717,23676,26958,8877,14154,19417,21733
Region XI - Davao Region,695,2014,3688,5889,1292,1649,5609,8008,0,0,13625,11024,6,1,36,34,479,1366,2362,3894,774,1093,3255,4800,0,0,10997,9250,4,2,35,53,Public,2020-2021,11284,17560,24951,28619,6870,11153,17906,20458
Region XII - Soccsksargen,959,2698,9371,14872,2082,2975,1155,1705,0,0,12347,8033,83,21,120,144,686,2068,6148,9859,1480,1988,1089,1445,0,0,10953,7756,92,75,89,128,Public,2020-2021,13567,22250,26117,30448,9403,15360,20537,23319
CARAGA - CARAGA,598,1403,2739,4016,1646,2284,5499,6757,0,0,8821,6147,15,2,80,93,602,1280,1733,2609,1199,1646,3853,4923,0,0,8228,6024,30,24,72,86,Public,2020-2021,10482,14460,19398,20702,7387,10458,15717,16592
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,368,430,1136,1566,470,705,4144,5873,0,0,3463,3444,19,9,13,8,311,471,931,1234,336,549,3085,4474,0,0,2818,3337,14,8,35,17,Public,2020-2021,6118,8574,9613,12035,4663,6728,7530,10090
CAR - Cordillera Administrative Region,378,895,2949,3595,760,1265,1384,1544,19,2,3346,2304,37,32,19,27,305,830,1877,2374,623,962,1137,1295,33,4,2557,1993,45,23,18,20,Public,2020-2021,5490,7301,8892,9664,3975,5465,6595,7501
NCR - National Capital Region,3879,7433,5828,7100,5321,5159,4060,3623,0,0,13123,8576,199,75,252,255,2480,5253,3484,4970,3539,3553,2865,2703,0,0,10581,7352,147,62,252,275,Public,2020-2021,19088,23315,32662,32221,12368,16479,23348,24168
Region I - Ilocos Region,726,2003,2137,2217,2958,3460,1662,1276,57,3,1335,1066,0,0,0,0,833,2533,2311,2522,3325,3419,1672,1334,174,8,2213,1525,0,0,8,3,Private,2020-2021,7540,8959,8875,10025,8315,9816,10536,11344
Region II - Cagayan Valley,582,1273,1981,1843,2013,2566,1052,896,34,5,452,221,1,0,7,10,664,1677,2146,2141,2208,2708,904,882,92,2,653,442,5,1,8,14,Private,2020-2021,5662,6583,6122,6814,6014,7410,6680,7867
Region III - Central Luzon,4505,10167,7691,10013,10966,10550,3960,3634,138,6,7865,6051,15,5,99,105,5312,11487,8403,10974,10712,9875,4111,3579,229,8,10271,7344,20,8,137,132,Private,2020-2021,27260,34370,35239,40531,28767,35923,39195,43407
Region IV-A - CALABARZON,6735,15733,12941,15188,18345,16874,3850,3124,185,13,12414,10028,57,29,198,265,7552,17275,12854,15643,17601,15588,4390,3485,245,19,15136,11571,92,48,194,316,Private,2020-2021,42056,50932,54725,61254,42642,52010,58064,63945
Region IV-B - MIMAROPA,425,1166,1616,1743,1193,1117,870,748,148,20,871,644,1,0,0,0,349,1010,1106,1214,1014,1056,1016,851,259,33,1077,885,1,0,0,0,Private,2020-2021,4252,4794,5124,5438,3744,4164,4822,5049
Region V - Bicol Region,702,2108,1477,2255,2234,2417,2917,3311,78,6,2446,2101,6,3,32,30,821,2465,1527,2282,2410,2523,2643,3132,179,15,3386,2504,26,12,36,40,Private,2020-2021,7408,10097,9892,12231,7580,10417,11028,12973
Region VI - Western Visayas,1020,2844,2811,3761,4098,4939,1512,1324,774,16,2565,2198,0,0,50,70,1275,3743,2588,3892,4342,5264,1751,1642,1684,28,3288,2659,2,0,75,75,Private,2020-2021,10215,12884,12830,15152,11640,14569,15005,17303
Region VII - Central Visayas,1494,4376,3286,5607,7203,6999,2975,2598,463,17,3864,3040,0,0,86,111,1811,5155,3385,6297,7303,6961,3223,2784,891,42,5379,4094,0,0,101,146,Private,2020-2021,15421,19597,19371,22748,16613,21239,22093,25479
Region VIII - Eastern Visayas,410,1046,1420,1839,1515,1732,811,716,0,0,1244,934,0,0,0,0,579,1431,1357,1951,1439,1505,758,808,0,0,1639,1233,0,0,0,0,Private,2020-2021,4156,5333,5400,6267,4133,5695,5772,6928
Region IX - Zamboanga Peninsula,411,994,1949,2621,1737,2333,888,821,0,0,1809,1351,0,0,7,9,434,996,1733,2389,1729,2239,972,912,0,0,1892,1515,0,0,4,1,Private,2020-2021,4985,6769,6801,8129,4868,6536,6764,8052
Region X - Northern Mindanao,1004,2436,2461,3252,2713,3103,2189,2256,68,4,2630,1987,1,0,19,13,1136,2682,2111,3026,2648,2966,1912,2040,318,12,2887,2007,1,0,18,27,Private,2020-2021,8435,11051,11085,13051,8125,10726,11031,12760
Region XI - Davao Region,1080,2447,2978,4229,2738,3422,1242,1419,58,4,3494,2386,0,0,15,21,1270,3033,3238,4912,2725,3430,1311,1483,141,11,4864,3323,0,0,30,52,Private,2020-2021,8096,11521,11605,13928,8685,12869,13579,16244
Region XII - Soccsksargen,642,1539,3459,4016,2091,2581,660,694,16,0,2050,1069,0,0,4,5,824,1938,3759,4913,2269,2874,568,638,25,0,2838,1330,27,12,2,2,Private,2020-2021,6868,8830,8922,9904,7445,10363,10312,11707
CARAGA - CARAGA,292,771,1436,1702,836,1054,774,903,73,6,1433,1182,0,0,3,0,358,930,1270,1854,867,918,708,625,122,10,1641,1218,0,0,4,9,Private,2020-2021,3411,4436,4847,5618,3325,4337,4970,5564
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,308,396,1782,1872,704,1395,1320,1887,0,0,697,729,0,0,0,0,205,345,1352,1563,558,1030,943,1459,0,0,661,686,0,0,0,0,Private,2020-2021,4114,5550,4811,6279,3058,4397,3719,5083
CAR - Cordillera Administrative Region,345,873,1939,2068,1834,2490,384,346,0,0,926,549,10,6,16,24,399,978,2012,2340,1971,2562,364,338,0,0,1118,700,25,6,15,20,Private,2020-2021,4502,5777,5454,6356,4746,6218,5904,6944
NCR - National Capital Region,8970,17366,12479,15448,16978,15718,4412,4373,110,9,12017,10016,150,85,463,800,9793,18586,11852,15746,16359,13929,4948,5074,329,9,14923,12046,259,144,492,873,Private,2020-2021,42949,52914,55579,63815,43281,53344,58955,66407
Region I - Ilocos Region,26,61,119,138,173,258,0,0,0,0,132,97,0,0,0,0,38,110,117,195,179,283,13,18,0,0,182,207,0,0,11,11,SUCsLUCs,2020-2021,318,457,450,554,347,606,540,824
Region II - Cagayan Valley,0,0,0,0,131,175,0,0,0,0,13,5,0,0,0,0,0,0,0,0,100,185,0,0,0,0,30,21,0,0,0,0,SUCsLUCs,2020-2021,131,175,144,180,100,185,130,206
Region III - Central Luzon,172,445,218,391,417,464,106,131,0,0,222,188,0,0,0,0,196,508,281,485,535,512,124,150,0,0,481,367,0,0,0,0,SUCsLUCs,2020-2021,913,1431,1135,1619,1136,1655,1617,2022
Region IV-A - CALABARZON,172,514,262,393,776,875,12,25,0,0,263,150,0,0,0,0,173,444,275,515,850,745,15,32,0,0,264,135,0,0,0,0,SUCsLUCs,2020-2021,1222,1807,1485,1957,1313,1736,1577,1871
Region IV-B - MIMAROPA,85,177,65,82,189,256,32,45,0,0,63,73,0,0,0,0,123,363,147,282,265,326,54,63,0,0,148,141,0,0,0,0,SUCsLUCs,2020-2021,371,560,434,633,589,1034,737,1175
Region V - Bicol Region,36,74,59,144,104,116,23,68,0,0,133,38,0,0,0,0,30,77,91,131,147,173,46,82,0,0,180,79,0,0,0,0,SUCsLUCs,2020-2021,222,402,355,440,314,463,494,542
Region VI - Western Visayas,42,68,28,58,87,118,0,0,0,0,7,8,0,0,0,0,33,108,24,87,79,128,0,0,0,0,30,35,0,0,0,0,SUCsLUCs,2020-2021,157,244,164,252,136,323,166,358
Region VII - Central Visayas,14,59,21,74,37,64,37,35,39,1,45,34,0,0,0,0,10,63,32,77,23,49,25,39,45,2,35,63,0,0,0,0,SUCsLUCs,2020-2021,148,233,193,267,135,230,170,293
Region VIII - Eastern Visayas,51,119,119,173,266,310,16,54,0,0,37,29,0,0,0,0,42,123,85,144,253,303,15,40,0,0,34,15,0,0,0,0,SUCsLUCs,2020-2021,452,656,489,685,395,610,429,625
Region IX - Zamboanga Peninsula,7,28,121,160,82,91,0,0,0,0,96,69,0,0,0,0,36,101,162,259,170,221,16,19,0,0,198,127,0,0,0,0,SUCsLUCs,2020-2021,210,279,306,348,384,600,582,727
Region X - Northern Mindanao,88,211,293,418,532,669,68,137,0,0,124,128,0,0,0,0,84,194,206,381,418,567,50,146,0,0,118,132,0,0,0,0,SUCsLUCs,2020-2021,981,1435,1105,1563,758,1288,876,1420
Region XI - Davao Region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,43,17,10,0,0,14,45,0,0,2,4,0,0,0,0,SUCsLUCs,2020-2021,0,0,0,0,42,98,44,102
Region XII - Soccsksargen,21,37,52,97,244,356,0,0,0,0,15,18,0,0,0,0,20,73,120,142,244,302,23,37,0,0,25,17,0,0,0,0,SUCsLUCs,2020-2021,317,490,332,508,407,554,432,571
CARAGA - CARAGA,0,0,0,0,82,135,0,0,0,0,29,18,0,0,0,0,0,0,0,0,83,120,0,0,0,0,13,39,0,0,0,0,SUCsLUCs,2020-2021,82,135,111,153,83,120,96,159
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,102,135,116,260,409,717,457,748,0,0,182,271,16,6,0,0,125,220,156,353,471,822,261,429,0,0,207,263,15,13,0,0,SUCsLUCs,2020-2021,1084,1860,1282,2137,1013,1824,1235,2100
CAR - Cordillera Administrative Region,9,48,119,150,133,182,17,29,0,0,158,120,0,0,0,0,9,62,110,179,119,146,28,77,0,0,285,231,0,0,0,0,SUCsLUCs,2020-2021,278,409,436,529,266,464,551,695
NCR - National Capital Region,375,987,471,873,897,973,19,27,0,0,478,423,20,11,49,103,515,1697,619,1218,1384,1455,51,108,0,0,905,692,34,7,86,130,SUCsLUCs,2020-2021,1762,2860,2309,3397,2569,4478,3594,5307
